sample_name,group,R1,replicate
AAVS1-1707+1710_A3786b_B3930a,AAVS1-1707+1710_A3786b_B3930a,SRR17170251.fastq.gz,1
AAVS1-1707+1710_A3786b_B3930b,AAVS1-1707+1710_A3786b_B3930b,SRR17170250.fastq.gz,1
AAVS1-1707+1710_A3786b_B3930c,AAVS1-1707+1710_A3786b_B3930c,SRR17170249.fastq.gz,1
AAVS1-1707+1710_A3786c_B3839a,AAVS1-1707+1710_A3786c_B3839a,SRR17170248.fastq.gz,1
AAVS1-1707+1710_A3786c_B3839b,AAVS1-1707+1710_A3786c_B3839b,SRR17170247.fastq.gz,1
AAVS1-1707+1710_A3786c_B3839c,AAVS1-1707+1710_A3786c_B3839c,SRR17170246.fastq.gz,1
AAVS1-1707+1710_A3786c_B3903a,AAVS1-1707+1710_A3786c_B3903a,SRR17170245.fastq.gz,1
AAVS1-1707+1710_A3786c_B3903b,AAVS1-1707+1710_A3786c_B3903b,SRR17170243.fastq.gz,1
AAVS1-1707+1710_A3786c_B3903c,AAVS1-1707+1710_A3786c_B3903c,SRR17170242.fastq.gz,1
AAVS1-1707+1710_A3786c_B3930a,AAVS1-1707+1710_A3786c_B3930a,SRR17170241.fastq.gz,1
AAVS1-1707+1710_A3786c_B3930b,AAVS1-1707+1710_A3786c_B3930b,SRR17170240.fastq.gz,1
AAVS1-1707+1710_A3786c_B3930c,AAVS1-1707+1710_A3786c_B3930c,SRR17170239.fastq.gz,1
AAVS1-1707+1710_A3835a_B3903a,AAVS1-1707+1710_A3835a_B3903a,SRR17170238.fastq.gz,1
AAVS1-1707+1710_A3835a_B3903b,AAVS1-1707+1710_A3835a_B3903b,SRR17170237.fastq.gz,1
AAVS1-1707+1710_A3835a_B3903c,AAVS1-1707+1710_A3835a_B3903c,SRR17170236.fastq.gz,1
AAVS1-1707+1710_A3835a_B3930a,AAVS1-1707+1710_A3835a_B3930a,SRR17170235.fastq.gz,1
AAVS1-1707+1710_A3835a_B3930b,AAVS1-1707+1710_A3835a_B3930b,SRR17170234.fastq.gz,1
AAVS1-1707+1710_A3835a_B3930c,AAVS1-1707+1710_A3835a_B3930c,SRR17170304.fastq.gz,1
